ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent
7690;2018-05-15T11:00:00+02:00;101070;-10;6;130;2.4;288.65;282.75;68;50000;2;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;0;40;3;1250;35;20;11;100760;;;110;;;;;283.250000;;;3.200000;3.700000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;5.0;;;;;1;0;;;;;;;;;;;43.648833, 7.209;NICE;6;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;2
7690;2018-05-15T14:00:00+02:00;101090;20;0;110;3.7;289.35;283.85;70;50000;2;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;60;3;800;35;23;11;100780;;;-20;;;;;283.250000;;;5.600000;5.600000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;0.0;;;;;5;3;;1;0;;;;;;;;43.648833, 7.209;NICE;0;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2
7690;2018-05-15T17:00:00+02:00;101080;-10;0;100;6.8;289.25;283.95;71;50000;1;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;0;50;3;800;35;23;11;100770;;;-100;;;;;283.250000;;;8.100000;8.100000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;0.0;;;;;2;3;;1;0;;;;;;;;43.648833, 7.209;NICE;0;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;1
7690;2018-05-15T20:00:00+02:00;101140;60;1;130;1.4;288.85;283.35;70;50000;2;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;100;7;800;35;;;100830;;;-110;285.150000;;289.750000;;288.150000;;;2.200000;2.900000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;0.0;;;;;6;6;;;;;;;;;;;43.648833, 7.209;NICE;1;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2
7690;2018-05-15T23:00:00+02:00;101300;160;2;70;4.5;288.55;284.15;75;30000;17;Orage(s) avec ou sans précipitations;9;90;6;800;39;;;100990;;;-30;;;;;288.850000;;;5.600000;5.600000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;0.0;;;;;5;6;;1;9;;;;;;;;43.648833, 7.209;NICE;2;Orage(s) avec ou sans précipitations;17
7690;2018-05-16T02:00:00+02:00;101320;20;0;10;1.0;287.95;284.35;79;30000;2;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;90;3;;35;23;;101010;;;70;;;;;288.150000;;;1.600000;3.400000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;0.0;;;;;5;3;;;;;;;;;;;43.648833, 7.209;NICE;0;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2
7690;2018-05-16T05:00:00+02:00;101300;-20;6;330;2.7;287.85;284.25;79;55740;0;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;100;8;800;;;;100990;;;210;;;;;288.050000;;;3.500000;3.500000;-10;;0.000000;;;0.0;0.0;0.000000;0.0;0.0;;;;;8;;;;;;;;;;;;43.648833, 7.209;NICE;6;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;0
7690;2018-05-16T08:00:00+02:00;101390;90;3;30;2.2;288.85;284.65;76;30000;2;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;90;7;800;35;;;101080;;;310;287.550000;;288.850000;;287.950000;;;3.400000;3.400000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;0.0;;;;;7;6;;;;;;;;;;;43.648833, 7.209;NICE;3;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2
7690;2018-05-16T11:00:00+02:00;101450;60;2;110;2.4;290.25;285.35;73;30000;1;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;90;7;450;38;;;101140;;;380;;;;;287.950000;;;3.000000;3.700000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;0.0;;;;;7;6;;;;;;;;;;;43.648833, 7.209;NICE;2;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;1
7690;2018-05-16T14:00:00+02:00;101450;0;0;130;3.7;291.45;285.85;70;30000;1;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;60;3;800;38;20;12;101140;;;360;;;;;287.950000;;;4.700000;5.000000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;0.0;;;;;2;6;;4;0;;;;;;;;43.648833, 7.209;NICE;0;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;1
